time,input_bmp2,nExpID,HAMP_qpcr_scaled,HMOX_qpcr_scaled,SMAD6_qpcr_scaled,SOCS3_qpcr_scaled,input_dcf,input_il6,Experiment
60,0,1,7.540096e-02,7.124253e-01,1.067069e+00,7.924555e-03,0,0,Anja_2017_20
60,0,1,7.652645e-02,6.975351e-01,1.027619e+00,8.252089e-03,0,0,Anja_2017_20
60,2.500000e+00,1,7.403018e-02,6.686597e-01,9.313474e-01,3.062700e-03,0,0,Anja_2017_20
60,2.500000e+00,1,7.378186e-02,6.768419e-01,9.512372e-01,3.896414e-03,0,0,Anja_2017_20
60,10,1,9.108915e-02,6.130752e-01,9.625733e-01,4.728884e-03,0,0,Anja_2017_20
60,10,1,8.763306e-02,6.494740e-01,9.894055e-01,5.166110e-03,0,0,Anja_2017_20
60,15,1,9.022482e-02,6.729111e-01,9.909630e-01,6.738548e-03,0,0,Anja_2017_20
60,15,1,9.217391e-02,6.660674e-01,1.018913e+00,5.368163e-03,0,0,Anja_2017_20
60,25,1,1.428658e-01,7.048045e-01,9.524385e-01,4.740213e-03,0,0,Anja_2017_20
60,25,1,1.478938e-01,7.111163e-01,9.118841e-01,4.567083e-03,0,0,Anja_2017_20
60,50,1,8.909336e-02,6.524375e-01,9.183469e-01,5.352455e-03,0,0,Anja_2017_20
60,50,1,8.794100e-02,6.544276e-01,9.453658e-01,4.382393e-03,0,0,Anja_2017_20
60,0,1,3.156162e-01,1.008332e+00,9.427496e-01,5.886037e-01,0,10,Anja_2017_20
60,0,1,3.195374e-01,1.025571e+00,1.050998e+00,6.153426e-01,0,10,Anja_2017_20
60,2.500000e+00,1,3.629139e-01,1.059603e+00,8.675497e-01,6.178808e-01,0,10,Anja_2017_20
60,2.500000e+00,1,3.778598e-01,1.007163e+00,9.446495e-01,6.425006e-01,0,10,Anja_2017_20
60,10,1,3.660403e-01,8.938194e-01,8.654441e-01,5.611199e-01,0,10,Anja_2017_20
60,10,1,3.793100e-01,9.482749e-01,8.765566e-01,5.745430e-01,0,10,Anja_2017_20
60,15,1,4.335664e-01,1.090909e+00,9.580420e-01,6.489510e-01,0,10,Anja_2017_20
60,15,1,4.467356e-01,1.118632e+00,1.011071e+00,6.747644e-01,0,10,Anja_2017_20
60,25,1,6.116235e-01,1.004158e+00,9.875604e-01,8.879744e-01,0,10,Anja_2017_20
60,25,1,6.322034e-01,1,9.745763e-01,8.559322e-01,0,10,Anja_2017_20
60,50,1,1.287903e+00,1.194368e+00,1.064858e+00,8.202288e-01,0,10,Anja_2017_20
60,50,1,1.213068e+00,1.133640e+00,1.018110e+00,8.014911e-01,0,10,Anja_2017_20
