time,input_il6,nExpID,input_dcf,tpSTAT3_wb_scaled,experiment,tSTAT3_wb
20,0,1,0,1.393297e-01,Anja_2017_04,NaN
20,1,1,0,2.137982e+00,Anja_2017_04,NaN
20,2.500000e+00,1,0,3.633232e+00,Anja_2017_04,NaN
20,5,1,0,5.052558e+00,Anja_2017_04,NaN
20,10,1,0,5.984164e+00,Anja_2017_04,NaN
20,20,1,0,4.344428e+00,Anja_2017_04,NaN
20,40,1,0,3.941417e+00,Anja_2017_04,NaN
20,0,2,0,5.001433e-01,Anja_2017_09,NaN
20,1,2,0,4.588073e+00,Anja_2017_09,NaN
20,2.500000e+00,2,0,8.094268e+00,Anja_2017_09,NaN
20,5,2,0,1.083056e+01,Anja_2017_09,NaN
20,10,2,0,1.156178e+01,Anja_2017_09,NaN
20,20,2,0,1.276397e+01,Anja_2017_09,NaN
20,40,2,0,1.166178e+01,Anja_2017_09,NaN
